TYPE,CUSTOMER_DEPARTMENT,MAIN_CUSTOMER,COMPLEXITY,PRODUCT,ROUNDS,MACHINE,PROD_STE,NECK,STITCH,YARN,ORDER
APR,Celio Paris Gents,Celio International SA,C1,Pullover,5,AUTO,ANS,High Crew Neck,Tuck,COTTON,Y
CNT,Thomas Dean - Gents,Thomas Dean,C1,Pullover,1,AUTO,FKL,Crew Neck,Jersey,MERINO_BLENDS,Y
CNT,Thomas Dean - Gents,Thomas Dean,C1,Pullover,1,AUTO,FKL,High Crew Neck,Tuck,MERINO_BLENDS,N
CNT,Thomas Dean - Gents,Thomas Dean,C1,Cardigan,1,AUTO,FKL,Shawl Collar,Tuck,MERINO_BLENDS,N
APR,Monoprix Exploitation Gents,Monoprix Exploitation,B,Pullover,1,HF,US1,Crew Neck,Jersey,LAMBSWOOL,N
APR,Monoprix Exploitation Gents,Monoprix Exploitation,B,Pullover,2,HF,US1,Crew Neck,Jersey,LAMBSWOOL,Y
CNT,Thomas Dean - Gents,Thomas Dean,C1,Cardigan,1,AUTO,FKL,Crew Neck,Jersey,MERINO_BLENDS,N
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,1,AUTO,ANS,Crew Neck,Cable/Aran,COTTON_BLENDS,N
APR,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,1,HF,US1,Crew Neck,Stripes,LAMBSWOOL,N
APR,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,2,HF,US1,Crew Neck,Stripes,LAMBSWOOL,Y
APR,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,3,HF,US1,Crew Neck,Jersey,LAMBSWOOL,Y
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,1,HF,US1,Crew Neck,Jersey,LAMBSWOOL,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,2,HF,FKL,Crew Neck,Jersey,LAMBSWOOL,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,1,HF,FKL,V-Neck,Jersey,LAMBSWOOL,N
APR,Hackett London Menswear Company Gents,Hackett London Menswear Company,B,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,MERINO,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,FKL,V-Neck,Jersey,MERINO,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,3,AUTO,ANS,V-Neck,Jersey,MERINO,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,ANS,V-Neck,Jersey,MERINO,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jacquard,COTTON,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,2,AUTO,AJX,High Crew Neck,Jacquard,COTTON,Y
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC,N
APR,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,1,HF,US1,V-Neck,Jersey,COTTON,Y
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,ACRYLIC,N
APR,Cape Union Mart Old Khaki Gents,Cape Union Mart,C1,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON,Y
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,B,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Cardigan,1,AUTO,FKL,V-Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Cardigan,2,AUTO,ANS,V-Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
APR,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,HF,US1,High Crew Neck,Jersey,LAMBSWOOL,Y
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,1,AUTO,ANS,Crew Neck,Knit/purl,COTTON,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,2,AUTO,ANS,Crew Neck,Knit/purl,COTTON,Y
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,3,AUTO,ANS,Crew Neck,Knit/purl,COTTON,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Cardigan,1,AUTO,ANS,Tunisian collar,Knit/purl,COTTON_BLENDS,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Cardigan,2,AUTO,ANS,Tunisian collar,Knit/purl,COTTON_BLENDS,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Cardigan,3,AUTO,ANS,Tunisian collar,Knit/purl,COTTON_BLENDS,Y
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,2,AUTO,FKL,High Crew Neck,Jersey,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C2,Pullover,3,AUTO,FKL,High Crew Neck,Jersey,MERINO,Y
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C2,Pullover,4,AUTO,ANS,High Crew Neck,Jersey,MERINO,N
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,2,AUTO,FKL,Crew Neck,Knit/purl,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,3,AUTO,FKL,Crew Neck,Knit/purl,MERINO,Y
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,4,AUTO,ANS,Crew Neck,Knit/purl,MERINO,N
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,2,AUTO,FKL,Crew Neck,Knit/purl,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,3,AUTO,FKL,Crew Neck,Knit/purl,MERINO_BLENDS,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,4,AUTO,ANS,Crew Neck,Knit/purl,MERINO_BLENDS,N
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,2,AUTO,FKL,V-Neck,Jersey,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,3,AUTO,FKL,V-Neck,Jersey,MERINO,N
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Swatch,4,AUTO,FKL,Not Applicable,Jersey,MERINO_BLENDS,N
CNT,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Not Applicable,5,AUTO,FKL,Not Applicable,Jersey,MERINO_BLENDS,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,6,AUTO,FKL,V-Neck,Jersey,MERINO,N
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,B,Pullover,7,AUTO,FKL,V-Neck,Jersey,MERINO,Y
APR,The Men's Wearhouse  Inc. Gents,Tailored Brand,C1,Pullover,8,AUTO,FKL,V-Neck,Jersey,MERINO,N
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,COTTON_BLENDS,Y
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,2,AUTO,FKL,High Crew Neck,Stripes,COTTON_BLENDS,Y
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,3,AUTO,ANS,High Crew Neck,Stripes,COTTON_BLENDS,N
CNT,Next Retail Limited Gents,Next Retail Limited,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,N
APR,Next Retail Limited Gents,Next Retail Limited,B,Swatch,2,AUTO,FKL,Not Applicable,Jacquard,LAMBSWOOL_BLENDS,N
CNT,Next Retail Limited Gents,Next Retail Limited,B,Pullover,3,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,N
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,4,AUTO,ANS,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,N
APR,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,5,AUTO,ANS,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,Y
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,B,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
APR,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,2,AUTO,ANS,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,B,Cardigan,1,AUTO,FKL,Shawl Collar,Tuck,MERINO_BLENDS,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C2,Cardigan,2,AUTO,FKL,Shawl Collar,Tuck,MERINO_BLENDS,Y
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Shawl Collar,Tuck,CASHMERE,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,AUTO,FKL,Shawl Collar,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,C1,Pullover,3,AUTO,FKL,Shawl Collar,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,C1,Pullover,4,AUTO,FKL,Shawl Collar,Jersey,CASHMERE,N
APR,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,COTTON,N
APR,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,2,HF,US1,Crew Neck,Jersey,COTTON,Y
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,AJX,Crew Neck,Jersey,COTTON,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,AJX,Crew Neck,Jersey,COTTON,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,3,AUTO,AJX,Crew Neck,Jersey,COTTON,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,AJX,Crew Neck,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,AJX,Crew Neck,Jersey,COTTON,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,AJX,Crew Neck,Jersey,COTTON,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,3,AUTO,AJX,Crew Neck,Jersey,COTTON,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,AJX,Crew Neck,Jersey,COTTON,N
APR,Next Retail Limited Gents,Next Retail Limited,B,Pullover,1,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL,Y
APR,Next Retail Limited Gents,Next Retail Limited,B,Pullover,2,HF,US1,High Crew Neck,Jersey,LAMBSWOOL,Y
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,1,HF,US1,V-Neck,Jersey,LAMBSWOOL,N
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,1,AUTO,ANS,Crew Neck,Rib,VISCOSE_BLENDS,N
APR,Cape Union Mart Poetry Ladies,Cape Union Mart,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,COTTON,Y
APR,Cape Union Mart Poetry Ladies,Cape Union Mart,B,Pullover,2,AUTO,ANS,Crew Neck,Jersey,COTTON,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,CASHMERE,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,AUTO,FKL,V-Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,3,AUTO,FKL,V-Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,4,AUTO,FKL,V-Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,5,AUTO,FKL,V-Neck,Jersey,CASHMERE,Y
APR,Celio Paris Gents,Celio International SA,B,Pullover,6,AUTO,ANS,V-Neck,Jersey,CASHMERE,Y
APR,Celio Paris Gents,Celio International SA,B,Pullover,7,AUTO,ANS,V-Neck,Jersey,CASHMERE,N
CNT,Cape Union Mart Poetry Ladies,Cape Union Mart,B,Cardigan,1,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,HF,FKL,Crew Neck,Jersey,CASHMERE,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,HF,FKL,Crew Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,3,HF,FKL,Crew Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,4,HF,FKL,Crew Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,5,HF,FKL,Crew Neck,Jersey,CASHMERE,Y
APR,Celio Paris Gents,Celio International SA,B,Pullover,6,HF,US1,Crew Neck,Jersey,CASHMERE,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,7,HF,US1,Crew Neck,Jersey,CASHMERE,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Turtle Neck,Jersey,CASHMERE,Y
APR,Celio Paris Gents,Celio International SA,B,Pullover,2,HF,US1,Turtle Neck,Jersey,CASHMERE,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,2,AUTO,FKL,High Crew Neck,Jersey,COTTON,Y
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,3,AUTO,FKL,High Crew Neck,Jersey,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,4,AUTO,FKL,High Crew Neck,Jersey,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,5,AUTO,ANS,High Crew Neck,Jersey,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,6,AUTO,FKL,High Crew Neck,Jersey,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,7,AUTO,ANS,High Crew Neck,Jersey,COTTON,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,C1,Cardigan,1,AUTO,ANS,Tunisian collar,Jersey,ACRYLIC,N
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,1,HF,US1,Crew Neck,Jersey,LAMBSWOOL,N
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,1,HF,US1,High Crew Neck,Jersey,LAMBSWOOL,N
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,2,HF,US1,High Crew Neck,Jersey,LAMBSWOOL,N
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,C1,Cardigan,1,HF,US1,V-Neck,Jersey,LAMBSWOOL,N
APR,Cape Union Mart Poetry Ladies,Cape Union Mart,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC_BLENDS,N
APR,Cape Union Mart Poetry Ladies,Cape Union Mart,B,Pullover,2,AUTO,ANS,Crew Neck,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,MERINO,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,FKL,Turtle Neck,Jersey,MERINO,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,3,AUTO,ANS,Turtle Neck,Jersey,MERINO,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,ANS,Turtle Neck,Jersey,MERINO,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,5,AUTO,ANS,Turtle Neck,Jersey,MERINO,N
CNT,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,Y
APR,Stockomani - Gents,Stockomani,B,Pullover,3,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,Crew Neck,Jersey,LAMBSWOOL_BLENDS,Y
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,AJX,Crew Neck,Tuck,ACRYLIC_BLENDS,N
APR,Devred SAS Gents,Devred SAS,C2,Pullover,3,AUTO,AJX,Crew Neck,Tuck,ACRYLIC_BLENDS,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,AJX,Crew Neck,Tuck,ACRYLIC_BLENDS,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,5,AUTO,AJX,Crew Neck,Tuck,ACRYLIC_BLENDS,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,6,AUTO,AJX,Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Cardigan,1,AUTO,FKL,High Crew Neck,Knit/purl,ACRYLIC_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,V-Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,V-Neck,Jersey,LAMBSWOOL_BLENDS,Y
CNT,Stockomani - Gents,Stockomani,C1,Pullover,1,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,C1,Pullover,2,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Stockomani - Gents,Stockomani,C1,Pullover,3,HF,AJX,High Crew Neck,Jersey,LAMBSWOOL_BLENDS,Y
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,1,AUTO,AJX,High Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,High Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,3,AUTO,ANS,High Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,4,AUTO,ANS,High Crew Neck,Tuck,ACRYLIC_BLENDS,Y
APR,Devred SAS Gents,Devred SAS,C1,Pullover,5,AUTO,ANS,High Crew Neck,Tuck,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Shawl Collar,Knit/purl,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,Shawl Collar,Knit/purl,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,3,AUTO,FKL,Shawl Collar,Knit/purl,COTTON_BLENDS,N
APR,Devred SAS Gents,Devred SAS,C2,Pullover,4,AUTO,FKL,Shawl Collar,Knit/purl,COTTON_BLENDS,N
APR,Devred SAS Gents,Devred SAS,C1,Pullover,5,AUTO,FKL,Shawl Collar,Knit/purl,COTTON_BLENDS,Y
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,1,AUTO,AJX,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,2,AUTO,AJX,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
APR,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,3,AUTO,AJX,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,ANS,Crew Neck,Jersey,COTTON_BLENDS,Y
APR,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,Crew Neck,Stripes,COTTON,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,Crew Neck,Stripes,COTTON,Y
APR,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,Crew Neck,Jersey,COTTON,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,Crew Neck,Jersey,COTTON,Y
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,LAMBSWOOL_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,AUTO,FKL,Crew Neck,Tuck,CASHMERE,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,3,AUTO,FKL,Crew Neck,Tuck,CASHMERE_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,4,AUTO,FKL,Crew Neck,Tuck,CASHMERE_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,5,AUTO,FKL,Crew Neck,Tuck,CASHMERE_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,6,AUTO,FKL,Crew Neck,Tuck,CASHMERE_BLENDS,N
APR,Celio Paris Gents,Celio International SA,C1,Pullover,7,AUTO,FKL,Crew Neck,Tuck,CASHMERE_BLENDS,N
CNT,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,C1,Cardigan,1,AUTO,ANS,Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
CNT,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,C1,Cardigan,2,AUTO,ANS,Crew Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,2,AUTO,FKL,Crew Neck,Knit/purl,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,3,AUTO,FKL,Crew Neck,Knit/purl,LAMBSWOOL,Y
APR,Verweij Fashion BV Gents,Verweij,B,Pullover,1,HF,US1,V-Neck,Jersey,LAMBSWOOL,Y
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,1,AUTO,FKL,Crew Neck,Stripes,COTTON,Y
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,2,AUTO,FKL,Crew Neck,Stripes,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,3,AUTO,FKL,Crew Neck,Stripes,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,4,AUTO,ANS,Crew Neck,Stripes,COTTON,N
APR,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,Tailored Brand,C1,Pullover,5,AUTO,FKL,Crew Neck,Stripes,COTTON,N
CNT,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,1,INTA,FKL,Crew Neck,Intarsia,LAMBSWOOL_BLENDS,N
APR,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,2,INTA,FKL,Crew Neck,Intarsia,LAMBSWOOL_BLENDS,Y
APR,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,3,INTA,FKL,Crew Neck,Intarsia,LAMBSWOOL_BLENDS,N
APR,Verweij Fashion BV Gents,Verweij,B,Pullover,1,AUTO,ANS,V-Neck,Jersey,LAMBSWOOL,Y
APR,Verweij Fashion BV Gents,Verweij,B,Pullover,2,AUTO,ANS,V-Neck,Jersey,LAMBSWOOL,Y
APR,Verweij Fashion BV Gents,Verweij,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,LAMBSWOOL,Y
APR,Verweij Fashion BV Gents,Verweij,C1,Cardigan,1,HF,US1,High Crew Neck,Jersey,LAMBSWOOL,Y
APR,Verweij Fashion BV Gents,Verweij,B,Pullover,1,HF,US1,Crew Neck,Jersey,LAMBSWOOL,Y
